"Name","Synopsis","Severity","Pillar","Maturity"
"Azure.AppGw.MinSku","Application Gateway should use a minimum instance size of Medium.","Important","Operational Excellence","-"
"Azure.AppGw.Name","Application Gateways should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.AppGw.OWASP","Application Gateway Web Application Firewall (WAF) should use OWASP 3.x rules.","Important","Security","-"
"Azure.AppGw.Prevention","Internet exposed Application Gateways should use prevention mode to protect backend resources.","Critical","Security","-"
"Azure.AppGw.SSLPolicy","Application Gateway should only accept a minimum of TLS 1.2.","Critical","Security","L1"
"Azure.AppGw.UseHTTPS","Application Gateways should only expose frontend HTTP endpoints over HTTPS.","Critical","Security","L1"
"Azure.AppGw.UseWAF","Internet accessible Application Gateways should use protect endpoints with WAF.","Critical","Security","-"
"Azure.AppGw.WAFEnabled","Application Gateway Web Application Firewall (WAF) must be enabled to protect backend resources.","Critical","Security","-"
"Azure.AppGw.WAFRules","Application Gateway Web Application Firewall (WAF) should have all rules enabled.","Important","Security","-"
"Azure.AppGwWAF.Enabled","Application Gateway Web Application Firewall (WAF) must be enabled to protect backend resources.","Critical","Security","-"
"Azure.AppGwWAF.Exclusions","Application Gateway Web Application Firewall (WAF) should have all rules enabled.","Critical","Security","-"
"Azure.AppGwWAF.PreventionMode","Use protection mode in Application Gateway Web Application Firewall (WAF) policies to protect back end resources.","Critical","Security","-"
"Azure.AppInsights.Name","Azure Resource Manager (ARM) has requirements for Application Insights resource names.","Awareness","Operational Excellence","-"
"Azure.AppInsights.Workspace","Configure Application Insights resources to store data in a workspace.","Important","Operational Excellence","-"
"Azure.AppService.AlwaysOn","Configure Always On for App Service apps.","Important","Reliability","-"
"Azure.AppService.ARRAffinity","Disable client affinity for stateless services.","Awareness","Performance Efficiency","-"
"Azure.AppService.HTTP2","Use HTTP/2 instead of HTTP/1.x to improve protocol efficiency.","Awareness","Performance Efficiency","-"
"Azure.AppService.ManagedIdentity","Configure managed identities to access Azure resources.","Important","Security","L1"
"Azure.AppService.MinPlan","Use at least a Standard App Service Plan.","Important","Performance Efficiency","-"
"Azure.AppService.MinTLS","App Service should not accept weak or deprecated transport protocols for client-server communication.","Critical","Security","L1"
"Azure.AppService.NETVersion","Configure applications to use newer .NET versions.","Important","Security","-"
"Azure.AppService.PHPVersion","Configure applications to use newer PHP runtime versions.","Important","Security","-"
"Azure.AppService.PlanInstanceCount","App Service Plan should use a minimum number of instances for failover.","Important","Reliability","-"
"Azure.AppService.RemoteDebug","Disable remote debugging on App Service apps when not in use.","Important","Security","-"
"Azure.AppService.UseHTTPS","Unencrypted communication could allow disclosure of information to an untrusted party.","Important","Security","L1"
"Azure.AppService.WebProbe","Configure and enable instance health probes.","Important","Reliability","-"
"Azure.AppService.WebProbePath","Configure a dedicated path for health probe requests.","Important","Reliability","-"
"Azure.AppService.WebSecureFtp","Web apps should disable insecure FTP and configure SFTP when required.","Important","Security","L1"
"Azure.ASE.MigrateV3","Use ASEv3 as replacement for the classic app service environment versions ASEv1 and ASEv2.","Important","Operational Excellence","-"
"Azure.ASG.Name","Application Security Group (ASG) names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.Automation.AuditLogs","Ensure automation account audit diagnostic logs are enabled.","Important","Security","L1"
"Azure.Automation.EncryptVariables","Azure Automation variables should be encrypted.","Important","Security","-"
"Azure.Automation.ManagedIdentity","Ensure Managed Identity is used for authentication.","Important","Security","L1"
"Azure.Automation.PlatformLogs","Ensure automation account platform diagnostic logs are enabled.","Important","Operational Excellence","-"
"Azure.Automation.WebHookExpiry","Do not create webhooks with an expiry time greater than 1 year (default).","Awareness","Security","-"
"Azure.Bastion.Name","Bastion hosts should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.BV.Immutable","Ensure immutability is configured to protect backup data.","Important","Security","-"
"Azure.CDN.EndpointName","Azure CDN Endpoint names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.CDN.HTTP","Unencrypted communication could allow disclosure of information to an untrusted party.","Important","Security","-"
"Azure.CDN.MinTLS","Azure CDN endpoints should reject TLS versions older than 1.2.","Important","Security","L1"
"Azure.CDN.UseFrontDoor","Use Azure Front Door Standard or Premium SKU to improve the performance of web pages with dynamic content and overall capabilities.","Important","Performance Efficiency","-"
"Azure.ContainerApp.APIVersion","Migrate from retired API version to a supported version.","Important","Operational Excellence","-"
"Azure.ContainerApp.DisableAffinity","Disable session affinity to prevent unbalanced distribution.","Awareness","Performance Efficiency","-"
"Azure.ContainerApp.ExternalIngress","Limit inbound communication for Container Apps is limited to callers within the Container Apps Environment.","Important","Security","-"
"Azure.ContainerApp.Insecure","Ensure insecure inbound traffic is not permitted to the container app.","Important","Security","L1"
"Azure.ContainerApp.ManagedIdentity","Ensure managed identity is used for authentication.","Important","Security","L1"
"Azure.ContainerApp.Name","Container Apps should meet naming requirements.","Awareness","Operational Excellence","L2"
"Azure.ContainerApp.PublicAccess","Ensure public network access for Container Apps environment is disabled.","Important","Security","-"
"Azure.ContainerApp.RestrictIngress","IP ingress restrictions mode should be set to allow action for all rules defined.","Important","Security","-"
"Azure.ContainerApp.Storage","Use of Azure Files volume mounts to persistent storage container data.","Awareness","Reliability","-"
"Azure.Cosmos.AccountName","Cosmos DB account names should meet naming requirements.","Awareness","Operational Excellence","L2"
"Azure.Cosmos.DefenderCloud","Enable Microsoft Defender for Azure Cosmos DB.","Critical","Security","-"
"Azure.Cosmos.DisableMetadataWrite","Use Entra ID identities for management place operations in Azure Cosmos DB.","Important","Security","-"
"Azure.Databricks.PublicAccess","Azure Databricks workspaces should disable public network access.","Critical","Security","-"
"Azure.Databricks.SecureConnectivity","Use Databricks workspaces configured for secure cluster connectivity.","Critical","Security","-"
"Azure.Databricks.SKU","Ensure Databricks workspaces are non-trial SKUs for production workloads.","Critical","Performance Efficiency","-"
"Azure.DataFactory.Version","Consider migrating to DataFactory v2.","Awareness","Reliability","-"
"Azure.Defender.Api","Enable Microsoft Defender for APIs.","Critical","Security","-"
"Azure.Defender.AppServices","Enable Microsoft Defender for App Service.","Critical","Security","-"
"Azure.Defender.Arm","Enable Microsoft Defender for Azure Resource Manager (ARM).","Critical","Security","-"
"Azure.Defender.Containers","Enable Microsoft Defender for Containers.","Critical","Security","-"
"Azure.Defender.CosmosDb","Enable Microsoft Defender for Azure Cosmos DB.","Critical","Security","-"
"Azure.Defender.Cspm","Enable Microsoft Defender Cloud Security Posture Management Standard plan.","Critical","Security","-"
"Azure.Defender.Dns","Enable Microsoft Defender for DNS.","Critical","Security","-"
"Azure.Defender.KeyVault","Enable Microsoft Defender for Key Vault.","Critical","Security","-"
"Azure.Defender.OssRdb","Enable Microsoft Defender for open-source relational databases.","Critical","Security","-"
"Azure.Defender.Servers","Enable Microsoft Defender for Servers.","Critical","Security","-"
"Azure.Defender.SQL","Enable Microsoft Defender for SQL servers.","Critical","Security","-"
"Azure.Defender.SQLOnVM","Enable Microsoft Defender for SQL servers on machines.","Critical","Security","-"
"Azure.Defender.Storage","Enable Microsoft Defender for Storage.","Critical","Security","-"
"Azure.Defender.Storage.MalwareScan","Enable Malware Scanning in Microsoft Defender for Storage.","Critical","Security","-"
"Azure.DefenderCloud.Provisioning","Enable auto-provisioning on to improve Microsoft Defender for Cloud insights.","Important","Security","-"
"Azure.Deployment.AdminUsername","A sensitive property set from deterministic or hardcoded values is not secure.","Awareness","Security","-"
"Azure.Deployment.Name","Nested deployments should meet naming requirements of deployments.","Awareness","Operational Excellence","-"
"Azure.Deployment.OuterSecret","Outer evaluation deployments may leak secrets exposed as secure parameters into logs and nested deployments.","Critical","Security","-"
"Azure.Deployment.OutputSecretValue","Outputting a sensitive value from deployment may leak secrets into deployment history or logs.","Critical","Security","-"
"Azure.Deployment.SecureParameter","Sensitive parameters that have been not been marked as secure may leak the secret into deployment history or logs.","Critical","Security","-"
"Azure.DevBox.ProjectLimit","Limit the number of Dev Boxes a single user can create for a project.","Important","Cost Optimization","-"
"Azure.EventGrid.DisableLocalAuth","Authenticate publishing clients with Azure AD identities.","Important","Security","L1"
"Azure.EventGrid.ManagedIdentity","Use managed identities to deliver Event Grid Topic events.","Important","Security","L1"
"Azure.EventGrid.TopicPublicAccess","Use Private Endpoints to access Event Grid topics and domains.","Important","Security","-"
"Azure.EventHub.DisableLocalAuth","Authenticate Event Hub publishers and consumers with Entra ID identities.","Important","Security","L1"
"Azure.EventHub.MinTLS","Weak or deprecated transport protocols for client-server communication introduce security vulnerabilities.","Critical","Security","L1"
"Azure.EventHub.Usage","Regularly remove unused resources to reduce costs.","Important","Cost Optimization","-"
"Azure.Firewall.Mode","Deny high confidence malicious IP addresses and domains on classic managed Azure Firewalls.","Critical","Security","-"
"Azure.Firewall.Name","Firewall names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.Firewall.PolicyMode","Deny high confidence malicious IP addresses, domains and URLs.","Critical","Security","-"
"Azure.Firewall.PolicyName","Firewall policy names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.FrontDoor.Logs","Audit and monitor access through Azure Front Door profiles.","Important","Security","-"
"Azure.FrontDoor.ManagedIdentity","Ensure Front Door uses a managed identity to authorize access to Azure resources.","Important","Security","L1"
"Azure.FrontDoor.MinTLS","Front Door Classic instances should reject TLS versions older than 1.2.","Critical","Security","L1"
"Azure.FrontDoor.Name","Front Door names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.FrontDoor.Probe","Use health probes to check the health of each backend.","Important","Reliability","-"
"Azure.FrontDoor.ProbeMethod","Configure health probes to use HEAD requests to reduce performance overhead.","Important","Reliability","-"
"Azure.FrontDoor.ProbePath","Configure a dedicated path for health probe requests.","Important","Reliability","-"
"Azure.FrontDoor.State","Enable Azure Front Door Classic instance.","Important","Cost Optimization","-"
"Azure.FrontDoor.UseCaching","Use caching to reduce retrieving contents from origins.","Important","Performance Efficiency","-"
"Azure.FrontDoor.UseWAF","Enable Web Application Firewall (WAF) policies on each Front Door endpoint.","Critical","Security","-"
"Azure.FrontDoor.WAF.Enabled","Front Door Web Application Firewall (WAF) policy must be enabled to protect back end resources.","Critical","Security","-"
"Azure.FrontDoor.WAF.Mode","Use protection mode in Front Door Web Application Firewall (WAF) policies to protect back end resources.","Critical","Security","-"
"Azure.FrontDoor.WAF.Name","Front Door WAF policy names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.FrontDoorWAF.Enabled","Front Door Web Application Firewall (WAF) policy must be enabled to protect back end resources.","Critical","Security","-"
"Azure.FrontDoorWAF.Exclusions","Use recommended rule groups in Front Door Web Application Firewall (WAF) policies to protect back end resources. Avoid configuring rule exclusions.","Critical","Security","-"
"Azure.FrontDoorWAF.PreventionMode","Use protection mode in Front Door Web Application Firewall (WAF) policies to protect back end resources.","Critical","Security","-"
"Azure.FrontDoorWAF.RuleGroups","Use recommended rule groups in Front Door Web Application Firewall (WAF) policies to protect back end resources.","Critical","Security","-"
"Azure.Group.Name","Azure Resource Manager (ARM) has requirements for Resource Groups names.","Awareness","Operational Excellence","-"
"Azure.Identity.UserAssignedName","Managed Identity names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.IoTHub.MinTLS","IoT Hubs should reject TLS versions older than 1.2.","Critical","Security","L1"
"Azure.KeyVault.AccessPolicy","Use the principal of least privilege when assigning access to Key Vault.","Important","Security","L1"
"Azure.KeyVault.AutoRotationPolicy","Keys that become compromised may be used to spoof, decrypt, or gain access to sensitive data.","Important","Security","-"
"Azure.KeyVault.Firewall","Key Vault should only accept explicitly allowed traffic.","Important","Security","L2"
"Azure.KeyVault.KeyName","Key Vault Key names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.KeyVault.Logs","Ensure audit diagnostics logs are enabled to audit Key Vault access.","Important","Security","L1"
"Azure.KeyVault.Name","Key Vault names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.KeyVault.PurgeProtect","Enable Purge Protection on Key Vaults to prevent early purge of vaults and vault items.","Important","Reliability","-"
"Azure.KeyVault.RBAC","Key Vaults should use Azure RBAC as the authorization system for the data plane.","Awareness","Security","L1"
"Azure.KeyVault.SecretName","Key Vault Secret names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.KeyVault.SoftDelete","Enable Soft Delete on Key Vaults to protect vaults and vault items from accidental deletion.","Important","Reliability","-"
"Azure.LB.AvailabilityZone","Load balancers deployed with Standard SKU should be zone-redundant for high availability.","Important","Reliability","-"
"Azure.LB.Name","Load Balancer names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.LB.Probe","Use a specific probe for web protocols.","Important","Reliability","-"
"Azure.LB.StandardSKU","Load balancers should be deployed with Standard SKU for production workloads.","Important","Reliability","-"
"Azure.LogicApp.LimitHTTPTrigger","Logic Apps using HTTP triggers without restrictions can be accessed from any network location including the Internet.","Critical","Security","-"
"Azure.MariaDB.AllowAzureAccess","Determine if access from Azure services is required.","Important","Security","-"
"Azure.MariaDB.DatabaseName","Azure Database for MariaDB databases should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.MariaDB.DefenderCloud","Enable Microsoft Defender for Cloud for Azure Database for MariaDB.","Important","Security","-"
"Azure.MariaDB.FirewallIPRange","Determine if there is an excessive number of permitted IP addresses.","Important","Security","-"
"Azure.MariaDB.FirewallRuleCount","Determine if there is an excessive number of firewall rules.","Awareness","Security","-"
"Azure.MariaDB.FirewallRuleName","Azure Database for MariaDB firewall rules should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.MariaDB.GeoRedundantBackup","Azure Database for MariaDB should store backups in a geo-redundant storage.","Important","Reliability","-"
"Azure.MariaDB.MinTLS","Azure Database for MariaDB servers should reject TLS versions older than 1.2.","Critical","Security","L1"
"Azure.MariaDB.ServerName","Azure Database for MariaDB servers should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.MariaDB.UseSSL","Azure Database for MariaDB servers should only accept encrypted connections.","Critical","Security","L1"
"Azure.MariaDB.VNETRuleName","Azure Database for MariaDB VNET rules should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.ML.ComputeIdleShutdown","Configure an idle shutdown timeout for Machine Learning compute instances.","Critical","Cost Optimization","-"
"Azure.ML.ComputeVnet","Azure Machine Learning Computes should be hosted in a virtual network (VNet).","Critical","Security","-"
"Azure.ML.DisableLocalAuth","Azure Machine Learning compute resources should have local authentication methods disabled.","Critical","Security","L1"
"Azure.ML.PublicAccess","Disable public network access from a Azure Machine Learning workspace.","Critical","Security","L2"
"Azure.ML.UserManagedIdentity","ML workspaces should use user-assigned managed identity, rather than the default system-assigned managed identity.","Important","Security","L1"
"Azure.Monitor.ServiceHealth","Configure Service Health alerts to notify administrators.","Important","Reliability","-"
"Azure.MySQL.AAD","Use Entra ID authentication with Azure Database for MySQL databases.","Critical","Security","L1"
"Azure.MySQL.AADOnly","Ensure Entra ID only authentication is enabled with Azure Database for MySQL databases.","Important","Security","L1"
"Azure.MySQL.AllowAzureAccess","Determine if access from Azure services is required.","Important","Security","-"
"Azure.MySQL.DefenderCloud","Enable Microsoft Defender for Cloud for Azure Database for MySQL.","Important","Security","-"
"Azure.MySQL.FirewallIPRange","Determine if there is an excessive number of permitted IP addresses.","Important","Security","-"
"Azure.MySQL.FirewallRuleCount","Determine if there is an excessive number of firewall rules.","Awareness","Security","-"
"Azure.MySQL.GeoRedundantBackup","Azure Database for MySQL should store backups in a geo-redundant storage.","Important","Reliability","-"
"Azure.MySQL.MinTLS","MySQL DB servers should reject TLS versions older than 1.2.","Critical","Security","L1"
"Azure.MySQL.ServerName","Azure MySQL DB server names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.MySQL.UseFlexible","Use Azure Database for MySQL Flexible Server deployment model.","Important","Reliability","-"
"Azure.MySQL.UseSSL","Enforce encrypted MySQL connections.","Critical","Security","L1"
"Azure.NIC.Attached","Network interfaces (NICs) that are not used should be removed.","Awareness","Cost Optimization","-"
"Azure.NIC.Name","Network Interface (NIC) names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.NIC.UniqueDns","Network interfaces (NICs) should inherit DNS from virtual networks.","Awareness","Reliability","-"
"Azure.NSG.AKSRules","AKS Network Security Group (NSG) should not have custom rules.","Awareness","Operational Excellence","-"
"Azure.NSG.AnyInboundSource","Network security groups (NSGs) should avoid rules that allow ""any"" as an inbound source.","Critical","Security","-"
"Azure.NSG.Associated","Network Security Groups (NSGs) should be associated to a subnet or network interface.","Awareness","Cost Optimization","-"
"Azure.NSG.DenyAllInbound","When all inbound traffic is denied, some functions that affect the reliability of your service may not work as expected.","Important","Reliability","-"
"Azure.NSG.LateralTraversal","Deny outbound management connections from non-management hosts.","Important","Security","-"
"Azure.NSG.Name","Azure Resource Manager (ARM) has requirements for Network Security Group (NSG) names.","Awareness","Operational Excellence","-"
"Azure.Policy.AssignmentAssignedBy","Policy assignments should use assignedBy metadata.","Awareness","Operational Excellence","-"
"Azure.Policy.AssignmentDescriptors","Policy assignments should use a display name and description.","Awareness","Operational Excellence","-"
"Azure.Policy.Descriptors","Policy and initiative definitions should use a display name, description, and category.","Awareness","Operational Excellence","-"
"Azure.Policy.ExemptionDescriptors","Policy exemptions should use a display name and description.","Awareness","Operational Excellence","-"
"Azure.Policy.WaiverExpiry","Configure policy waiver exemptions to expire.","Awareness","Security","-"
"Azure.PostgreSQL.AAD","Use Entra ID authentication with Azure Database for PostgreSQL databases.","Critical","Security","L1"
"Azure.PostgreSQL.AADOnly","Ensure Entra ID only authentication is enabled with Azure Database for PostgreSQL databases.","Important","Security","L1"
"Azure.PostgreSQL.AllowAzureAccess","Determine if access from Azure services is required.","Important","Security","-"
"Azure.PostgreSQL.DefenderCloud","Enable Microsoft Defender for Cloud for Azure Database for PostgreSQL.","Important","Security","-"
"Azure.PostgreSQL.FirewallIPRange","Determine if there is an excessive number of permitted IP addresses.","Important","Security","-"
"Azure.PostgreSQL.FirewallRuleCount","Determine if there is an excessive number of firewall rules.","Awareness","Security","-"
"Azure.PostgreSQL.GeoRedundantBackup","Azure Database for PostgreSQL should store backups in a geo-redundant storage.","Important","Reliability","-"
"Azure.PostgreSQL.MinTLS","PostgreSQL DB servers should reject TLS versions older than 1.2.","Critical","Security","L1"
"Azure.PostgreSQL.ServerName","Azure PostgreSQL DB server names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.PostgreSQL.UseSSL","Enforce encrypted PostgreSQL connections.","Critical","Security","L1"
"Azure.PrivateEndpoint.Name","Private Endpoint names should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.PublicIP.AvailabilityZone","Public IP addresses deployed with Standard SKU should use availability zones in supported regions for high availability.","Important","Reliability","-"
"Azure.PublicIP.DNSLabel","Public IP domain name labels should meet naming requirements.","Awareness","Operational Excellence","-"
"Azure.PublicIP.IsAttached","Public IP addresses should be attached or cleaned up if not in use.","Important","Security","-"
"Azure.PublicIP.MigrateStandard","Use the Standard SKU for Public IP addresses as the Basic SKU will be retired.","Important","Operational Excellence","-"
"Azure.PublicIP.Name","Azure Resource Manager (ARM) has requirements for Public IP address names.","Awareness","Operational Excellence","-"
"Azure.PublicIP.StandardSKU","The basic SKU is being retired on 30 September 2025, and does not include several reliability and security features.","Important","Reliability","-"
"Azure.RBAC.CoAdministrator","Delegate access to manage Azure resources using role-based access control (RBAC).","Important","Security","-"
"Azure.RBAC.LimitMGDelegation","Limit Role-Base Access Control (RBAC) inheritance from Management Groups.","Important","Security","-"
"Azure.RBAC.LimitOwner","Limit the number of subscription Owners.","Important","Security","-"
"Azure.RBAC.PIM","Use just-in-time (JiT) activation of roles instead of persistent role assignment.","Important","Security","-"
"Azure.RBAC.UseGroups","Use groups for assigning permissions instead of individual user accounts.","Important","Security","-"
"Azure.RBAC.UseRGDelegation","Use RBAC assignments on resource groups instead of individual resources.","Important","Security","-"
"Azure.Redis.AvailabilityZone","Premium Redis cache should be deployed with availability zones for high availability.","Important","Reliability","-"
"Azure.Redis.FirewallIPRange","Determine if there is an excessive number of permitted IP addresses for the Redis cache.","Critical","Security","-"
