"Name","Synopsis","Severity","Pillar","Maturity"
"Azure.PostgreSQL.MaintenanceWindow","Configure a customer-controlled maintenance window for Azure Database for PostgreSQL servers.","Important","Reliability","-"
"Azure.PostgreSQL.ZoneRedundantHA","Deploy Azure Database for PostgreSQL servers using zone-redundant high availability (HA) in supported regions to ensure high availability and resilience.","Important","Reliability","-"
"Azure.PublicIP.AvailabilityZone","Public IP addresses deployed with Standard SKU should use availability zones in supported regions for high availability.","Important","Reliability","-"
"Azure.PublicIP.StandardSKU","The basic SKU is being retired on 30 September 2025, and does not include several reliability and security features.","Important","Reliability","-"
"Azure.Redis.AvailabilityZone","Premium Redis cache should be deployed with availability zones for high availability.","Important","Reliability","-"
"Azure.Redis.Version","Azure Cache for Redis should use the latest supported version of Redis.","Important","Reliability","-"
"Azure.RedisEnterprise.Zones","Enterprise Redis cache should be zone-redundant for high availability.","Important","Reliability","-"
"Azure.RSV.ReplicationAlert","Recovery Services Vaults (RSV) without replication alerts configured may be at risk.","Important","Reliability","-"
"Azure.RSV.StorageType","Recovery Services Vaults (RSV) not using geo-replicated storage (GRS) may be at risk.","Important","Reliability","-"
"Azure.Search.IndexSLA","Use a minimum of 3 replicas to receive an SLA for query and index updates.","Important","Reliability","-"
"Azure.Search.QuerySLA","Use a minimum of 2 replicas to receive an SLA for index queries.","Important","Reliability","-"
"Azure.SignalR.SLA","Use SKUs that include an SLA when configuring SignalR Services.","Important","Reliability","-"
"Azure.SQL.MaintenanceWindow","Configure a customer-controlled maintenance window for Azure SQL databases.","Important","Reliability","-"
"Azure.SQLMI.MaintenanceWindow","Configure a customer-controlled maintenance window for Azure SQL Managed Instances.","Important","Reliability","-"
"Azure.Storage.ContainerSoftDelete","Enable container soft delete on Storage Accounts.","Important","Reliability","-"
"Azure.Storage.FileShareSoftDelete","Enable soft delete on Storage Accounts file shares.","Important","Reliability","-"
"Azure.Storage.SoftDelete","Enable blob soft delete on Storage Accounts.","Important","Reliability","-"
"Azure.Storage.UseReplication","Storage Accounts using the LRS SKU are only replicated within a single zone.","Important","Reliability","-"
"Azure.Template.LocationDefault","Set the default value for the location parameter within an ARM template to resource group location.","Awareness","Reliability","-"
"Azure.TrafficManager.Endpoints","Traffic Manager should use at lest two enabled endpoints.","Important","Reliability","-"
"Azure.VM.ASAlignment","Use availability sets aligned with managed disks fault domains.","Important","Reliability","-"
"Azure.VM.ASDistributeTraffic","Ensure high availability by distributing traffic among members in an availability set.","Important","Reliability","-"
"Azure.VM.ASMinMembers","Availability sets should be deployed with at least two virtual machines (VMs).","Important","Reliability","-"
"Azure.VM.BasicSku","Virtual machines (VMs) should not use Basic sizes.","Important","Reliability","-"
"Azure.VM.MaintenanceConfig","Use a maintenance configuration for virtual machines.","Important","Reliability","-"
"Azure.VM.Standalone","Single instance VMs are a single point of failure, however reliability can be improved by using premium storage.","Important","Reliability","-"
"Azure.VMSS.AutoInstanceRepairs","Applications or infrastructure relying on a virtual machine scale sets may fail if VM instances are unhealthy.","Important","Reliability","-"
"Azure.VMSS.AvailabilityZone","Deploy virtual machine scale set instances using availability zones in supported regions to ensure high availability and resilience.","Important","Reliability","-"
"Azure.VMSS.ZoneBalance","Deploy virtual machine scale set instances using the best-effort zone balance in supported regions.","Important","Reliability","-"
"Azure.VNET.BastionSubnet","VNETs with a GatewaySubnet should have an AzureBastionSubnet to allow for out of band remote access to VMs.","Important","Reliability","-"
"Azure.VNET.FirewallSubnetNAT","Zonal-deployed Azure Firewalls should consider using an Azure NAT Gateway for outbound access.","Awareness","Reliability","-"
"Azure.VNET.LocalDNS","Virtual networks (VNETs) should use DNS servers deployed within the same Azure region.","Important","Reliability","-"
"Azure.VNET.SingleDNS","Virtual networks (VNETs) should have at least two DNS servers assigned.","Important","Reliability","-"
"Azure.VNG.ERAvailabilityZoneSKU","Use availability zone SKU for virtual network gateways deployed with ExpressRoute gateway type.","Important","Reliability","-"
"Azure.VNG.ERLegacySKU","Migrate from legacy SKUs to improve reliability and performance of ExpressRoute (ER) gateways.","Critical","Reliability","-"
"Azure.VNG.MaintenanceConfig","Use a customer-controlled maintenance configuration for virtual network gateways.","Important","Reliability","-"
"Azure.VNG.VPNActiveActive","Use VPN gateways configured to operate in an Active-Active configuration to reduce connectivity downtime.","Important","Reliability","-"
"Azure.VNG.VPNAvailabilityZoneSKU","Use availability zone SKU for virtual network gateways deployed with VPN gateway type.","Important","Reliability","-"
"Azure.VNG.VPNLegacySKU","Migrate from legacy SKUs to improve reliability and performance of VPN gateways.","Critical","Reliability","-"
"Azure.WebPubSub.SLA","Use SKUs that include an SLA when configuring Web PubSub Services.","Important","Reliability","-"
