"Name","Synopsis","Severity"
"Azure.APIM.MinAPIVersion","API Management instances should limit control plane API calls to API Management with version '2021-08-01' or newer.","Important"
"Azure.APIM.MultiRegion","Enhance service availability and resilience by deploying API Management instances across multiple regions.","Important"
"Azure.APIM.MultiRegionGateway","API Management instances should have multi-region deployment gateways enabled.","Important"
"Azure.APIM.Name","API Management service names should meet naming requirements.","Awareness"
"Azure.APIM.PolicyBase","Base element for any policy element in a section should be configured.","Important"
"Azure.APIM.ProductApproval","Configure products to require approval.","Important"
"Azure.APIM.ProductDescriptors","API Management products should have a display name and description.","Awareness"
"Azure.APIM.ProductSubscription","Configure products to require a subscription.","Important"
"Azure.APIM.Protocols","API Management should only accept a minimum of TLS 1.2 for client and backend communication.","Critical"
"Azure.APIM.SampleProducts","API Management Services with default products configured may expose more APIs than intended.","Awareness"
"Azure.AppConfig.AuditLogs","Ensure app configuration store audit diagnostic logs are enabled.","Important"
"Azure.AppConfig.DisableLocalAuth","Access keys allow depersonalized access to App Configuration using a shared secret.","Important"
"Azure.AppConfig.GeoReplica","Replicate app configuration store across all points of presence for an application.","Important"
"Azure.AppConfig.Name","App Configuration store names should meet naming requirements.","Awareness"
"Azure.AppConfig.PurgeProtect","Consider purge protection for app configuration store to ensure store cannot be purged in the retention period.","Important"
"Azure.AppConfig.SecretLeak","Secrets stored as key values in an App Configuration Store may be leaked to unauthorized users.","Critical"
"Azure.AppConfig.SKU","App Configuration should use a minimum size of Standard.","Important"
"Azure.AppGw.AvailabilityZone","Application Gateway (App Gateway) should use availability zones in supported regions for improved resiliency.","Important"
"Azure.AppGw.MigrateV2","Use a Application Gateway v2 SKU.","Important"
"Azure.AppGw.MigrateWAFPolicy","Migrate to Application Gateway WAF policy.","Critical"
"Azure.AppGw.MinInstance","Application Gateways should use a minimum of two instances.","Important"
"Azure.AppGw.MinSku","Application Gateway should use a minimum instance size of Medium.","Important"
"Azure.AppGw.Name","Application Gateways should meet naming requirements.","Awareness"
"Azure.AppGw.OWASP","Application Gateway Web Application Firewall (WAF) should use OWASP 3.x rules.","Important"
"Azure.AppGw.Prevention","Internet exposed Application Gateways should use prevention mode to protect backend resources.","Critical"
"Azure.AppGw.SSLPolicy","Application Gateway should only accept a minimum of TLS 1.2.","Critical"
"Azure.AppGw.UseHTTPS","Application Gateways should only expose frontend HTTP endpoints over HTTPS.","Critical"
"Azure.AppGw.UseWAF","Internet accessible Application Gateways should use protect endpoints with WAF.","Critical"
"Azure.AppGw.WAFEnabled","Application Gateway Web Application Firewall (WAF) must be enabled to protect backend resources.","Critical"
"Azure.AppGw.WAFRules","Application Gateway Web Application Firewall (WAF) should have all rules enabled.","Important"
"Azure.AppGwWAF.Enabled","Application Gateway Web Application Firewall (WAF) must be enabled to protect backend resources.","Critical"
"Azure.AppGwWAF.Exclusions","Application Gateway Web Application Firewall (WAF) should have all rules enabled.","Critical"
"Azure.AppGwWAF.PreventionMode","Use protection mode in Application Gateway Web Application Firewall (WAF) policies to protect back end resources.","Critical"
"Azure.AppGwWAF.RuleGroups","Use recommended rule groups in Application Gateway Web Application Firewall (WAF) policies to protect back end resources.","Critical"
"Azure.AppInsights.LocalAuth","Local authentication allows depersonalized access to store telemetry in Application Insights using a shared identifier.","Critical"
"Azure.AppInsights.Name","Azure Resource Manager (ARM) has requirements for Application Insights resource names.","Awareness"
"Azure.AppInsights.Naming","Application Insights resources without a standard naming convention may be difficult to identify and manage.","Awareness"
"Azure.AppInsights.Workspace","Configure Application Insights resources to store data in a workspace.","Important"
"Azure.AppService.AlwaysOn","Configure Always On for App Service apps.","Important"
"Azure.AppService.ARRAffinity","Disable client affinity for stateless services.","Awareness"
"Azure.AppService.AvailabilityZone","Deploy app service plan instances using availability zones in supported regions to ensure high availability and resilience.","Important"
"Azure.AppService.HTTP2","Use HTTP/2 instead of HTTP/1.x to improve protocol efficiency.","Awareness"
"Azure.AppService.ManagedIdentity","Configure managed identities to access Azure resources.","Important"
"Azure.AppService.MinPlan","Use at least a Standard App Service Plan.","Important"
"Azure.AppService.MinTLS","App Service should not accept weak or deprecated transport protocols for client-server communication.","Critical"
"Azure.AppService.NETVersion","Configure applications to use newer .NET versions.","Important"
"Azure.AppService.NodeJsVersion","Configure applications to use supported Node.js runtime versions.","Important"
"Azure.AppService.PHPVersion","Configure applications to use newer PHP runtime versions.","Important"
"Azure.AppService.PlanInstanceCount","App Service Plan should use a minimum number of instances for failover.","Important"
"Azure.AppService.RemoteDebug","Disable remote debugging on App Service apps when not in use.","Important"
"Azure.AppService.UseHTTPS","Unencrypted communication could allow disclosure of information to an untrusted party.","Important"
"Azure.AppService.WebProbe","Configure and enable instance health probes.","Important"
"Azure.AppService.WebProbePath","Configure a dedicated path for health probe requests.","Important"
"Azure.AppService.WebSecureFtp","Web apps should disable insecure FTP and configure SFTP when required.","Important"
"Azure.Arc.Kubernetes.Defender","Deploy Microsoft Defender for Containers extension for Arc-enabled Kubernetes clusters.","Important"
"Azure.Arc.Server.MaintenanceConfig","Use a maintenance configuration for Arc-enabled servers.","Important"
"Azure.ASE.AvailabilityZone","Deploy app service environments using availability zones in supported regions to ensure high availability and resilience.","Important"
"Azure.ASE.MigrateV3","Use ASEv3 as replacement for the classic app service environment versions ASEv1 and ASEv2.","Important"
"Azure.ASG.Name","Application Security Group (ASG) names should meet naming requirements.","Awareness"
"Azure.Automation.AuditLogs","Ensure automation account audit diagnostic logs are enabled.","Important"
"Azure.Automation.EncryptVariables","Azure Automation variables should be encrypted.","Important"
"Azure.Automation.ManagedIdentity","Ensure Managed Identity is used for authentication.","Important"
"Azure.Automation.PlatformLogs","Ensure automation account platform diagnostic logs are enabled.","Important"
"Azure.Automation.WebHookExpiry","Do not create webhooks with an expiry time greater than 1 year (default).","Awareness"
"Azure.AVD.ScheduleAgentUpdate","Define a windows for agent updates to minimize disruptions to users.","Important"
"Azure.Bastion.Name","Bastion hosts should meet naming requirements.","Awareness"
"Azure.BV.Immutable","Ensure immutability is configured to protect backup data.","Important"
"Azure.CDN.EndpointName","Azure CDN Endpoint names should meet naming requirements.","Awareness"
"Azure.CDN.HTTP","Unencrypted communication could allow disclosure of information to an untrusted party.","Important"
"Azure.CDN.MinTLS","Azure CDN endpoints should reject TLS versions older than 1.2.","Important"
"Azure.CDN.UseFrontDoor","Use Azure Front Door Standard or Premium SKU to improve the performance of web pages with dynamic content and overall capabilities.","Important"
"Azure.ContainerApp.APIVersion","Migrate from retired API version to a supported version.","Important"
"Azure.ContainerApp.AvailabilityZone","Use Container Apps environments that are zone redundant to improve reliability.","Important"
"Azure.ContainerApp.DisableAffinity","Disable session affinity to prevent unbalanced distribution.","Awareness"
"Azure.ContainerApp.ExternalIngress","Limit inbound communication for Container Apps is limited to callers within the Container Apps Environment.","Important"
"Azure.ContainerApp.Insecure","Ensure insecure inbound traffic is not permitted to the container app.","Important"
"Azure.ContainerApp.ManagedIdentity","Ensure managed identity is used for authentication.","Important"
"Azure.ContainerApp.MinReplicas","Use multiple replicas to remove a single point of failure.","Important"
"Azure.ContainerApp.Name","Container Apps should meet naming requirements.","Awareness"
"Azure.ContainerApp.PublicAccess","Ensure public network access for Container Apps environment is disabled.","Important"
"Azure.ContainerApp.RestrictIngress","IP ingress restrictions mode should be set to allow action for all rules defined.","Important"
"Azure.ContainerApp.Storage","Use of Azure Files volume mounts to persistent storage container data.","Awareness"
"Azure.Cosmos.AccountName","Cosmos DB account names should meet naming requirements.","Awareness"
"Azure.Cosmos.ContinuousBackup","Enable continuous backup on Cosmos DB accounts.","Important"
"Azure.Cosmos.DefenderCloud","Enable Microsoft Defender for Azure Cosmos DB.","Critical"
"Azure.Cosmos.DisableLocalAuth","Access keys allow depersonalized access to Cosmos DB accounts using a shared secret.","Critical"
"Azure.Cosmos.DisableMetadataWrite","Use Entra ID identities for management place operations in Azure Cosmos DB.","Important"
"Azure.Cosmos.MinTLS","Cosmos DB accounts should reject TLS versions older than 1.2.","Critical"
"Azure.Cosmos.PublicAccess","Azure Cosmos DB should have public network access disabled.","Critical"
"Azure.Cosmos.SLA","Use a paid tier to qualify for a Service Level Agreement (SLA).","Important"
"Azure.Databricks.PublicAccess","Azure Databricks workspaces should disable public network access.","Critical"
"Azure.Databricks.SecureConnectivity","Use Databricks workspaces configured for secure cluster connectivity.","Critical"
"Azure.Databricks.SKU","Ensure Databricks workspaces are non-trial SKUs for production workloads.","Critical"
"Azure.DataFactory.Version","Consider migrating to DataFactory v2.","Awareness"
"Azure.Defender.Api","Enable Microsoft Defender for APIs.","Critical"
"Azure.Defender.AppServices","Enable Microsoft Defender for App Service.","Critical"
"Azure.Defender.Arm","Enable Microsoft Defender for Azure Resource Manager (ARM).","Critical"
"Azure.Defender.Containers","Enable Microsoft Defender for Containers.","Critical"
"Azure.Defender.CosmosDb","Enable Microsoft Defender for Azure Cosmos DB.","Critical"
"Azure.Defender.Cspm","Enable Microsoft Defender Cloud Security Posture Management Standard plan.","Critical"
"Azure.Defender.Dns","Enable Microsoft Defender for DNS.","Critical"
"Azure.Defender.KeyVault","Enable Microsoft Defender for Key Vault.","Critical"
"Azure.Defender.OssRdb","Enable Microsoft Defender for open-source relational databases.","Critical"
"Azure.Defender.SecurityContact","Important security notifications may be lost or not processed in a timely manner when a clear security contact is not identified.","Important"
"Azure.Defender.Servers","Enable Microsoft Defender for Servers.","Critical"
"Azure.Defender.SQL","Enable Microsoft Defender for SQL servers.","Critical"
"Azure.Defender.SQLOnVM","Enable Microsoft Defender for SQL servers on machines.","Critical"
"Azure.Defender.Storage","Enable Microsoft Defender for Storage.","Critical"
"Azure.Defender.Storage.DataScan","Enable sensitive data threat detection in Microsoft Defender for Storage.","Critical"
"Azure.Defender.Storage.MalwareScan","Enable Malware Scanning in Microsoft Defender for Storage.","Critical"
"Azure.DefenderCloud.ActiveAlerts","Alerts that have not received a response may indicate a security issue that requires attention.","Important"
"Azure.DefenderCloud.Provisioning","Enable auto-provisioning on to improve Microsoft Defender for Cloud insights.","Important"
"Azure.Deployment.AdminUsername","A sensitive property set from deterministic or hardcoded values is not secure.","Awareness"
"Azure.Deployment.Name","Nested deployments should meet naming requirements of deployments.","Awareness"
"Azure.Deployment.OuterSecret","Outer evaluation deployments may leak secrets exposed as secure parameters into logs and nested deployments.","Critical"
"Azure.Deployment.OutputSecretValue","Outputting a sensitive value from deployment may leak secrets into deployment history or logs.","Critical"
"Azure.Deployment.SecretLeak","Sensitive parameters that have been not been marked as secure may leak the secret into deployment history or logs.","Critical"
"Azure.Deployment.SecureParameter","Sensitive parameters that have been not been marked as secure may leak the secret into deployment history or logs.","Critical"
"Azure.Deployment.SecureValue","A secret property set from a non-secure value may leak the secret into deployment history or logs.","Critical"
"Azure.DevBox.ProjectLimit","Limit the number of Dev Boxes a single user can create for a project.","Important"
"Azure.DNS.DNSSEC","DNS may be vulnerable to several attacks when the DNS clients are not able to verify the authenticity of the DNS responses.","Important"
"Azure.EntraDS.MinReplicas","Applications or infrastructure relying on a managed domain may fail if the domain is not available.","Important"
"Azure.EntraDS.NTLM","Disable NTLM v1 for Microsoft Entra Domain Services.","Critical"
"Azure.EntraDS.RC4","Disable RC4 encryption for Microsoft Entra Domain Services.","Critical"
"Azure.EntraDS.ReplicaLocation","The location of a replica set determines the country or region where the data is stored and processed.","Important"
"Azure.EntraDS.SKU","The default SKU for Microsoft Entra Domain Services supports resiliency in a single region.","Important"
"Azure.EntraDS.TLS","Disable TLS v1 for Microsoft Entra Domain Services.","Critical"
"Azure.EventGrid.DisableLocalAuth","Authenticate publishing clients with Azure AD identities.","Important"
"Azure.EventGrid.DomainNaming","Event Grid domains without a standard naming convention may be difficult to identify and manage.","Awareness"
"Azure.EventGrid.DomainTLS","Weak or deprecated transport protocols for client-server communication introduce security vulnerabilities.","Critical"
"Azure.EventGrid.ManagedIdentity","Use managed identities to deliver Event Grid Topic events.","Important"
"Azure.EventGrid.NamespaceTLS","Weak or deprecated transport protocols for client-server communication introduce security vulnerabilities.","Critical"
"Azure.EventGrid.SystemTopicNaming","Event Grid system topics without a standard naming convention may be difficult to identify and manage.","Awareness"
"Azure.EventGrid.TopicNaming","Event Grid topics without a standard naming convention may be difficult to identify and manage.","Awareness"
"Azure.EventGrid.TopicPublicAccess","Use Private Endpoints to access Event Grid topics and domains.","Important"
"Azure.EventGrid.TopicTLS","Weak or deprecated transport protocols for client-server communication introduce security vulnerabilities.","Critical"
"Azure.EventHub.DisableLocalAuth","Authenticate Event Hub publishers and consumers with Entra ID identities.","Important"
"Azure.EventHub.Firewall","Access to the namespace endpoints should be restricted to only allowed sources.","Critical"
"Azure.EventHub.MinTLS","Weak or deprecated transport protocols for client-server communication introduce security vulnerabilities.","Critical"
"Azure.EventHub.Usage","Regularly remove unused resources to reduce costs.","Important"
"Azure.Firewall.AvailabilityZone","Deploy firewall instances using availability zones in supported regions to ensure high availability and resilience.","Important"
"Azure.Firewall.Mode","Deny high confidence malicious IP addresses and domains on classic managed Azure Firewalls.","Critical"
"Azure.Firewall.Name","Firewall names should meet naming requirements.","Awareness"
"Azure.Firewall.PolicyMode","Deny high confidence malicious IP addresses, domains and URLs.","Critical"
"Azure.Firewall.PolicyName","Firewall policy names should meet naming requirements.","Awareness"
"Azure.FrontDoor.Logs","Audit and monitor access through Azure Front Door profiles.","Important"
"Azure.FrontDoor.ManagedIdentity","Ensure Front Door uses a managed identity to authorize access to Azure resources.","Important"
"Azure.FrontDoor.MinTLS","Front Door Classic instances should reject TLS versions older than 1.2.","Critical"
"Azure.FrontDoor.Name","Front Door names should meet naming requirements.","Awareness"
"Azure.FrontDoor.Probe","Use health probes to check the health of each backend.","Important"
"Azure.FrontDoor.ProbeMethod","Configure health probes to use HEAD requests to reduce performance overhead.","Important"
"Azure.FrontDoor.ProbePath","Configure a dedicated path for health probe requests.","Important"
"Azure.FrontDoor.State","Enable Azure Front Door Classic instance.","Important"
"Azure.FrontDoor.UseCaching","Use caching to reduce retrieving contents from origins.","Important"
"Azure.FrontDoor.UseWAF","Enable Web Application Firewall (WAF) policies on each Front Door endpoint.","Critical"
"Azure.FrontDoor.WAF.Enabled","Front Door Web Application Firewall (WAF) policy must be enabled to protect back end resources.","Critical"
"Azure.FrontDoor.WAF.Mode","Use protection mode in Front Door Web Application Firewall (WAF) policies to protect back end resources.","Critical"
"Azure.FrontDoor.WAF.Name","Front Door WAF policy names should meet naming requirements.","Awareness"
"Azure.FrontDoorWAF.Enabled","Front Door Web Application Firewall (WAF) policy must be enabled to protect back end resources.","Critical"
"Azure.FrontDoorWAF.Exclusions","Use recommended rule groups in Front Door Web Application Firewall (WAF) policies to protect back end resources. Avoid configuring rule exclusions.","Critical"
"Azure.FrontDoorWAF.PreventionMode","Use protection mode in Front Door Web Application Firewall (WAF) policies to protect back end resources.","Critical"
"Azure.FrontDoorWAF.RuleGroups","Use recommended rule groups in Front Door Web Application Firewall (WAF) policies to protect back end resources.","Critical"
"Azure.Grafana.Version","Grafana workspaces should be on Grafana version 10.","Important"
"Azure.Group.Name","Azure Resource Manager (ARM) has requirements for Resource Groups names.","Awareness"
"Azure.Group.Naming","Resource Groups without a standard naming convention may be difficult to identify and manage.","Awareness"
"Azure.Group.RequiredTags","Resource groups without a standard tagging convention may be difficult to identify and manage.","Awareness"
"Azure.Identity.UserAssignedName","Managed Identity names should meet naming requirements.","Awareness"
"Azure.ImageBuilder.CustomizeHash","External scripts that are not pinned may be modified to execute privileged actions by an unauthorized user.","Important"
"Azure.ImageBuilder.ValidateHash","External scripts that are not pinned may be modified to execute privileged actions by an unauthorized user.","Important"
"Azure.IoTHub.MinTLS","IoT Hubs should reject TLS versions older than 1.2.","Critical"
"Azure.KeyVault.AccessPolicy","Use the principal of least privilege when assigning access to Key Vault.","Important"
"Azure.KeyVault.AutoRotationPolicy","Keys that become compromised may be used to spoof, decrypt, or gain access to sensitive data.","Important"
"Azure.KeyVault.Firewall","Key Vault should only accept explicitly allowed traffic.","Important"
"Azure.KeyVault.KeyName","Key Vault Key names should meet naming requirements.","Awareness"
"Azure.KeyVault.Logs","Ensure audit diagnostics logs are enabled to audit Key Vault access.","Important"
"Azure.KeyVault.Name","Key Vault names should meet naming requirements.","Awareness"
"Azure.KeyVault.PurgeProtect","Enable Purge Protection on Key Vaults to prevent early purge of vaults and vault items.","Important"
"Azure.KeyVault.RBAC","Key Vaults should use Azure RBAC as the authorization system for the data plane.","Awareness"
"Azure.KeyVault.SecretName","Key Vault Secret names should meet naming requirements.","Awareness"
"Azure.KeyVault.SoftDelete","Enable Soft Delete on Key Vaults to protect vaults and vault items from accidental deletion.","Important"
"Azure.LB.AvailabilityZone","Load balancers deployed with Standard SKU should be zone-redundant for high availability.","Important"
"Azure.LB.Name","Load Balancer names should meet naming requirements.","Awareness"
"Azure.LB.Naming","Load balancer names should use a standard prefix.","Awareness"
"Azure.LB.Probe","Use a specific probe for web protocols.","Important"
"Azure.LB.StandardSKU","Load balancers should be deployed with Standard SKU for production workloads.","Important"
"Azure.Log.Name","Azure Resource Manager (ARM) has requirements for Azure Monitor Log workspace names.","Awareness"
"Azure.Log.Naming","Azure Monitor Log workspaces without a standard naming convention may be difficult to identify and manage.","Awareness"
"Azure.Log.ReplicaLocation","The replication location determines the country or region where the data is stored and processed.","Important"
"Azure.Log.Replication","Log Analytics workspaces should have workspace replication enabled to improve service availability.","Important"
"Azure.LogicApp.LimitHTTPTrigger","Logic Apps using HTTP triggers without restrictions can be accessed from any network location including the Internet.","Critical"
"Azure.MariaDB.AllowAzureAccess","Determine if access from Azure services is required.","Important"
"Azure.MariaDB.DatabaseName","Azure Database for MariaDB databases should meet naming requirements.","Awareness"
"Azure.MariaDB.DefenderCloud","Enable Microsoft Defender for Cloud for Azure Database for MariaDB.","Important"
"Azure.MariaDB.FirewallIPRange","Determine if there is an excessive number of permitted IP addresses.","Important"
"Azure.MariaDB.FirewallRuleCount","Determine if there is an excessive number of firewall rules.","Awareness"
"Azure.MariaDB.FirewallRuleName","Azure Database for MariaDB firewall rules should meet naming requirements.","Awareness"
"Azure.MariaDB.GeoRedundantBackup","Azure Database for MariaDB should store backups in a geo-redundant storage.","Important"
"Azure.MariaDB.MinTLS","Azure Database for MariaDB servers should reject TLS versions older than 1.2.","Critical"
"Azure.MariaDB.ServerName","Azure Database for MariaDB servers should meet naming requirements.","Awareness"
"Azure.MariaDB.UseSSL","Azure Database for MariaDB servers should only accept encrypted connections.","Critical"
"Azure.MariaDB.VNETRuleName","Azure Database for MariaDB VNET rules should meet naming requirements.","Awareness"
"Azure.ML.ComputeIdleShutdown","Configure an idle shutdown timeout for Machine Learning compute instances.","Critical"
"Azure.ML.ComputeVnet","Azure Machine Learning Computes should be hosted in a virtual network (VNet).","Critical"
"Azure.ML.DisableLocalAuth","Azure Machine Learning compute resources should have local authentication methods disabled.","Critical"
"Azure.ML.PublicAccess","Disable public network access from a Azure Machine Learning workspace.","Critical"
"Azure.ML.UserManagedIdentity","ML workspaces should use user-assigned managed identity, rather than the default system-assigned managed identity.","Important"
"Azure.Monitor.ServiceHealth","Configure Service Health alerts to notify administrators.","Important"
"Azure.MySQL.AAD","Use Entra ID authentication with Azure Database for MySQL databases.","Critical"
"Azure.MySQL.AADOnly","Ensure Entra ID only authentication is enabled with Azure Database for MySQL databases.","Important"
"Azure.MySQL.AllowAzureAccess","Determine if access from Azure services is required.","Important"
"Azure.MySQL.DefenderCloud","Enable Microsoft Defender for Cloud for Azure Database for MySQL.","Important"
"Azure.MySQL.FirewallIPRange","Determine if there is an excessive number of permitted IP addresses.","Important"
"Azure.MySQL.FirewallRuleCount","Determine if there is an excessive number of firewall rules.","Awareness"
"Azure.MySQL.GeoRedundantBackup","Azure Database for MySQL should store backups in a geo-redundant storage.","Important"
"Azure.MySQL.MaintenanceWindow","Configure a customer-controlled maintenance window for Azure Database for MySQL servers.","Important"
"Azure.MySQL.MinTLS","MySQL DB servers should reject TLS versions older than 1.2.","Critical"
"Azure.MySQL.ServerName","Azure MySQL DB server names should meet naming requirements.","Awareness"
"Azure.MySQL.UseFlexible","Use Azure Database for MySQL Flexible Server deployment model.","Important"
"Azure.MySQL.UseSSL","Enforce encrypted MySQL connections.","Critical"
"Azure.MySQL.ZoneRedundantHA","Deploy Azure Database for MySQL servers using zone-redundant high availability (HA) in supported regions to ensure high availability and resilience.","Important"
"Azure.NIC.Attached","Network interfaces (NICs) that are not used should be removed.","Awareness"
"Azure.NIC.Name","Network Interface (NIC) names should meet naming requirements.","Awareness"
"Azure.NIC.UniqueDns","Network interfaces (NICs) should inherit DNS from virtual networks.","Awareness"
"Azure.NSG.AKSRules","AKS Network Security Group (NSG) should not have custom rules.","Awareness"
"Azure.NSG.AnyInboundSource","Network security groups (NSGs) should avoid rules that allow ""any"" as an inbound source.","Critical"
"Azure.NSG.Associated","Network Security Groups (NSGs) should be associated to a subnet or network interface.","Awareness"
"Azure.NSG.DenyAllInbound","When all inbound traffic is denied, some functions that affect the reliability of your service may not work as expected.","Important"
"Azure.NSG.LateralTraversal","Deny outbound management connections from non-management hosts.","Important"
"Azure.NSG.Name","Azure Resource Manager (ARM) has requirements for Network Security Group (NSG) names.","Awareness"
"Azure.NSG.Naming","Network security group (NSG) without a standard naming convention may be difficult to identify and manage.","Awareness"
